2025-06-23 14:00:39.963 INFO: Epoch 142: loss=4.2605, MAE_E=21.10 meV, MAE_F=41.57 meV / A, lr_cur=0.01000
2025-06-23 14:00:52.262 INFO: Epoch 144: loss=4.2430, MAE_E=20.79 meV, MAE_F=41.46 meV / A, lr_cur=0.01000
2025-06-23 14:01:04.518 INFO: Epoch 146: loss=4.2260, MAE_E=21.15 meV, MAE_F=41.39 meV / A, lr_cur=0.01000
2025-06-23 14:01:16.669 INFO: Epoch 148: loss=4.2128, MAE_E=20.88 meV, MAE_F=41.30 meV / A, lr_cur=0.01000
2025-06-23 14:01:28.889 INFO: Epoch 150: loss=4.1865, MAE_E=21.26 meV, MAE_F=41.16 meV / A, lr_cur=0.01000
2025-06-23 14:01:41.122 INFO: Epoch 152: loss=4.1716, MAE_E=20.45 meV, MAE_F=41.07 meV / A, lr_cur=0.01000
2025-06-23 14:01:53.404 INFO: Epoch 154: loss=4.1680, MAE_E=22.39 meV, MAE_F=41.02 meV / A, lr_cur=0.01000
2025-06-23 14:02:05.584 INFO: Epoch 156: loss=4.1582, MAE_E=20.29 meV, MAE_F=40.96 meV / A, lr_cur=0.01000
2025-06-23 14:02:17.794 INFO: Epoch 158: loss=4.1625, MAE_E=25.72 meV, MAE_F=40.93 meV / A, lr_cur=0.01000
2025-06-23 14:02:29.972 INFO: Epoch 160: loss=4.1579, MAE_E=20.78 meV, MAE_F=40.90 meV / A, lr_cur=0.01000
2025-06-23 14:02:42.071 INFO: Epoch 162: loss=4.1345, MAE_E=20.30 meV, MAE_F=40.81 meV / A, lr_cur=0.01000
2025-06-23 14:02:54.217 INFO: Epoch 164: loss=4.1189, MAE_E=20.23 meV, MAE_F=40.73 meV / A, lr_cur=0.01000
2025-06-23 14:03:06.601 INFO: Epoch 166: loss=4.0955, MAE_E=20.67 meV, MAE_F=40.63 meV / A, lr_cur=0.01000
2025-06-23 14:03:18.876 INFO: Epoch 168: loss=4.0746, MAE_E=21.85 meV, MAE_F=40.51 meV / A, lr_cur=0.01000
2025-06-23 14:03:31.088 INFO: Epoch 170: loss=4.0466, MAE_E=20.13 meV, MAE_F=40.36 meV / A, lr_cur=0.01000
2025-06-23 14:03:43.277 INFO: Epoch 172: loss=4.0358, MAE_E=21.99 meV, MAE_F=40.30 meV / A, lr_cur=0.01000
2025-06-23 14:03:55.397 INFO: Epoch 174: loss=4.0218, MAE_E=19.31 meV, MAE_F=40.23 meV / A, lr_cur=0.01000
2025-06-23 14:04:07.818 INFO: Epoch 176: loss=4.0087, MAE_E=21.47 meV, MAE_F=40.15 meV / A, lr_cur=0.01000
2025-06-23 14:04:20.197 INFO: Epoch 178: loss=3.9991, MAE_E=19.95 meV, MAE_F=40.09 meV / A, lr_cur=0.01000
2025-06-23 14:04:32.280 INFO: Epoch 180: loss=3.9874, MAE_E=18.84 meV, MAE_F=40.03 meV / A, lr_cur=0.01000
